% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Ch 1 (V)
0.000000000000e+00, 6.0858469139e-03
1.953140000000e-04, 8.2026632317e-03
3.906280000000e-04, 7.4088571125e-03
5.859420000000e-04, 8.2026632317e-03
7.812560000000e-04, 7.9380611920e-03
9.765700000000e-04, 7.4088571125e-03
1.171884000000e-03, 7.1442550728e-03
1.367198000000e-03, 7.6734591523e-03
1.562512000000e-03, 6.8796530331e-03
1.757826000000e-03, 7.1442550728e-03
1.953140000000e-03, 5.8212448741e-03
2.148454000000e-03, 6.3504489536e-03
2.343768000000e-03, 6.0858469139e-03
2.539082000000e-03, 5.5566428344e-03
2.734396000000e-03, 4.4982346755e-03
2.929710000000e-03, 5.2920407947e-03
3.125024000000e-03, 1.1113285669e-02
3.320338000000e-03, 5.0274387549e-03
3.515652000000e-03, 4.2336326357e-03
3.710966000000e-03, 4.2336326357e-03
3.906280000000e-03, 4.2336326357e-03
4.101594000000e-03, 3.9690305960e-03
4.296908000000e-03, 3.4398265165e-03
4.492222000000e-03, 3.4398265165e-03
4.687536000000e-03, 2.9106224371e-03
4.882850000000e-03, 2.1168163179e-03
5.078164000000e-03, 2.1168163179e-03
5.273478000000e-03, 1.8522142781e-03
5.468792000000e-03, 2.3814183576e-03
5.664106000000e-03, 2.1168163179e-03
5.859420000000e-03, 2.1168163179e-03
6.054734000000e-03, 1.8522142781e-03
6.250048000000e-03, 2.1168163179e-03
6.445362000000e-03, 2.1168163179e-03
6.640676000000e-03, 2.1168163179e-03
6.835990000000e-03, 2.1168163179e-03
7.031304000000e-03, 2.3814183576e-03
7.226618000000e-03, 2.1168163179e-03
7.421932000000e-03, 2.1168163179e-03
