% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Statistics, Ch A Maximum (V), Ch A Minimum (V)
% Mean, 1.165437e-01, -1.365011e-01
% Min, 5.875082e-03, -2.025568e-01
% Max, 1.727808e-01, -5.073935e-03
% Std. dev., 5.902575e-02, 6.296557e-02
% Count, 178, 178
% Time (s), Ch A Maximum (V), Ch A Minimum (V)
-1.292674e+02, 4.939865e-03, -4.939865e-03
-1.291653e+02, 4.939865e-03, -5.473905e-03
-1.290658e+02, 4.939865e-03, -4.806356e-03
-1.289659e+02, 4.939865e-03, -4.939865e-03
-1.288658e+02, 4.939865e-03, -4.806356e-03
-1.287670e+02, 4.939865e-03, -4.806356e-03
-1.286669e+02, 4.939865e-03, -5.473905e-03
-1.285670e+02, 4.939865e-03, -4.806356e-03
-1.284670e+02, 4.939865e-03, -5.473905e-03
-1.283670e+02, 4.939865e-03, -4.806356e-03
-1.282670e+02, 4.939865e-03, -5.473905e-03
-1.281670e+02, 4.939865e-03, -5.473905e-03
-1.280670e+02, 4.539336e-03, -4.939865e-03
-1.279672e+02, 4.539336e-03, -4.939865e-03
-1.278671e+02, 4.539336e-03, -5.473905e-03
-1.277670e+02, 4.539336e-03, -4.939865e-03
-1.276670e+02, 4.539336e-03, -5.473905e-03
-1.275670e+02, 4.539336e-03, -4.939865e-03
-1.274670e+02, 4.539336e-03, -5.473905e-03
-1.273672e+02, 4.539336e-03, -4.939865e-03
-1.272672e+02, 4.539336e-03, -5.473905e-03
-1.271671e+02, 4.939865e-03, -4.939865e-03
-1.270672e+02, 4.939865e-03, -4.939865e-03
-1.269673e+02, 4.539336e-03, -4.939865e-03
-1.268672e+02, 4.939865e-03, -4.939865e-03
-1.267674e+02, 4.539336e-03, -4.939865e-03
-1.266672e+02, 4.138806e-03, -4.939865e-03
-1.265671e+02, 4.272316e-03, -4.138806e-03
-1.264673e+02, 3.871786e-03, -4.138806e-03
-1.263673e+02, 3.871786e-03, -4.138806e-03
-1.262673e+02, 3.871786e-03, -4.272316e-03
-1.261674e+02, 3.871786e-03, -4.138806e-03
-1.260673e+02, 3.871786e-03, -4.272316e-03
-1.259675e+02, 3.871786e-03, -4.138806e-03
-1.258674e+02, 3.871786e-03, -4.272316e-03
-1.257674e+02, 3.871786e-03, -4.272316e-03
-1.256673e+02, 3.871786e-03, -4.272316e-03
-1.255674e+02, 3.871786e-03, -4.272316e-03
-1.254674e+02, 4.138806e-03, -4.272316e-03
-1.253674e+02, 4.272316e-03, -4.005296e-03
-1.252673e+02, 4.138806e-03, -3.871786e-03
-1.251676e+02, 4.138806e-03, -4.005296e-03
-1.250673e+02, 4.138806e-03, -3.871786e-03
-1.249674e+02, 4.138806e-03, -4.405826e-03
-1.248675e+02, 4.272316e-03, -4.405826e-03
-1.247674e+02, 4.272316e-03, -5.340395e-03
-1.246674e+02, 4.138806e-03, -5.340395e-03
-1.245676e+02, 4.672846e-03, -5.340395e-03
-1.244673e+02, 4.672846e-03, -5.340395e-03
-1.243674e+02, 4.672846e-03, -5.340395e-03
-1.242674e+02, 4.272316e-03, -5.340395e-03
-1.241674e+02, 4.672846e-03, -5.340395e-03
-1.240675e+02, 4.672846e-03, -5.340395e-03
-1.239675e+02, 4.272316e-03, -5.740925e-03
-1.238675e+02, 5.073375e-03, -5.340395e-03
-1.237674e+02, 5.073375e-03, -5.340395e-03
-1.236677e+02, 5.073375e-03, -5.340395e-03
-1.235677e+02, 5.073375e-03, -5.340395e-03
-1.234677e+02, 5.073375e-03, -5.740925e-03
-1.233676e+02, 5.073375e-03, -5.740925e-03
-1.232677e+02, 5.073375e-03, -5.874435e-03
-1.231676e+02, 5.073375e-03, -5.874435e-03
-1.230677e+02, 5.073375e-03, -5.340395e-03
-1.229677e+02, 5.073375e-03, -5.340395e-03
-1.228678e+02, 5.073375e-03, -5.340395e-03
-1.227668e+02, 5.073375e-03, -5.340395e-03
-1.226667e+02, 5.073375e-03, -5.340395e-03
-1.225667e+02, 5.073375e-03, -5.340395e-03
-1.224666e+02, 5.073375e-03, -5.340395e-03
-1.223667e+02, 5.073375e-03, -5.340395e-03
-1.222668e+02, 5.073375e-03, -5.340395e-03
-1.221669e+02, 5.073375e-03, -5.340395e-03
-1.220667e+02, 5.073375e-03, -5.340395e-03
-1.219667e+02, 5.073375e-03, -5.340395e-03
-1.218666e+02, 5.073375e-03, -5.340395e-03
-1.217666e+02, 5.073375e-03, -5.340395e-03
-1.216664e+02, 5.073375e-03, -5.340395e-03
-1.215667e+02, 5.073375e-03, -5.340395e-03
-1.214667e+02, 5.073375e-03, -5.340395e-03
-1.213667e+02, 5.073375e-03, -5.340395e-03
-1.212667e+02, 5.073375e-03, -5.340395e-03
-1.211666e+02, 5.073375e-03, -5.340395e-03
-1.210668e+02, 5.073375e-03, -5.340395e-03
-1.209669e+02, 5.073375e-03, -5.340395e-03
-1.208668e+02, 5.073375e-03, -5.340395e-03
-1.207669e+02, 5.073375e-03, -5.740925e-03
-1.206668e+02, 5.073375e-03, -5.340395e-03
-1.205666e+02, 5.073375e-03, -5.740925e-03
-1.204678e+02, 5.073375e-03, -5.340395e-03
-1.203691e+02, 5.073375e-03, -5.874435e-03
-1.202690e+02, 5.073375e-03, -5.340395e-03
-1.201680e+02, 5.206885e-03, -5.874435e-03
-1.200680e+02, 5.206885e-03, -5.340395e-03
-1.199680e+02, 5.206885e-03, -5.340395e-03
-1.198680e+02, 5.206885e-03, -5.340395e-03
-1.197679e+02, 5.073375e-03, -4.539336e-03
-1.196680e+02, 5.206885e-03, -5.073375e-03
-1.195681e+02, 5.206885e-03, -5.073375e-03
-1.194679e+02, 5.206885e-03, -5.073375e-03
-1.193680e+02, 5.206885e-03, -5.073375e-03
-1.192681e+02, 5.206885e-03, -5.073375e-03
-1.191680e+02, 5.206885e-03, -5.073375e-03
-1.190681e+02, 5.206885e-03, -5.073375e-03
-1.189669e+02, 5.206885e-03, -4.539336e-03
-1.188680e+02, 5.206885e-03, -5.073375e-03
-1.187680e+02, 5.206885e-03, -4.539336e-03
-1.186680e+02, 5.206885e-03, -5.073375e-03
-1.185681e+02, 5.206885e-03, -3.738277e-03
-1.184680e+02, 5.206885e-03, -3.738277e-03
-1.183681e+02, 5.073375e-03, -4.138806e-03
-1.182680e+02, 5.206885e-03, -4.138806e-03
-1.181680e+02, 5.206885e-03, -5.073375e-03
-1.180680e+02, 5.206885e-03, -4.138806e-03
-1.179681e+02, 5.206885e-03, -5.073375e-03
-1.178683e+02, 5.206885e-03, -4.138806e-03
-1.177681e+02, 5.206885e-03, -4.138806e-03
-1.176683e+02, 5.206885e-03, -5.340395e-03
-1.175685e+02, 5.073375e-03, -4.405826e-03
-1.174682e+02, 5.206885e-03, -4.138806e-03
-1.173682e+02, 5.073375e-03, -4.405826e-03
-1.172682e+02, 5.206885e-03, -4.138806e-03
-1.171682e+02, 5.073375e-03, -5.340395e-03
-1.170682e+02, 5.073375e-03, -4.138806e-03
-1.169682e+02, 5.206885e-03, -5.340395e-03
-1.168684e+02, 5.206885e-03, -5.073375e-03
-1.167683e+02, 5.206885e-03, -5.073375e-03
-1.166684e+02, 5.206885e-03, -5.073375e-03
-1.165696e+02, 5.073375e-03, -4.138806e-03
-1.164695e+02, 5.206885e-03, -5.073375e-03
-1.163683e+02, 5.073375e-03, -4.138806e-03
-1.162683e+02, 5.206885e-03, -5.073375e-03
-1.161684e+02, 5.206885e-03, -5.073375e-03
-1.160685e+02, 5.206885e-03, -4.138806e-03
-1.159702e+02, 5.206885e-03, -5.073375e-03
-1.158685e+02, 5.206885e-03, -4.138806e-03
-1.157685e+02, 5.206885e-03, -5.073375e-03
-1.156685e+02, 5.206885e-03, -4.138806e-03
-1.155684e+02, 5.206885e-03, -4.138806e-03
-1.154684e+02, 5.206885e-03, -4.138806e-03
-1.153684e+02, 5.073375e-03, -4.138806e-03
-1.152684e+02, 5.206885e-03, -4.138806e-03
-1.151673e+02, 4.272316e-03, -4.138806e-03
-1.150674e+02, 4.272316e-03, -4.138806e-03
-1.149674e+02, 4.672846e-03, -4.138806e-03
-1.148675e+02, 4.272316e-03, -4.138806e-03
-1.147673e+02, 4.672846e-03, -4.138806e-03
-1.146674e+02, 4.272316e-03, -4.138806e-03
-1.145671e+02, 4.272316e-03, -4.138806e-03
-1.144675e+02, 4.672846e-03, -4.138806e-03
-1.143675e+02, 4.272316e-03, -4.138806e-03
-1.142675e+02, 4.672846e-03, -4.138806e-03
-1.141674e+02, 4.272316e-03, -4.138806e-03
-1.140676e+02, 4.672846e-03, -4.138806e-03
-1.139676e+02, 4.405826e-03, -4.138806e-03
-1.138675e+02, 5.206885e-03, -4.138806e-03
-1.137677e+02, 5.874435e-03, -4.138806e-03
-1.136674e+02, 5.206885e-03, -4.138806e-03
-1.135675e+02, 5.874435e-03, -4.138806e-03
-1.134676e+02, 5.874435e-03, -4.138806e-03
-1.133676e+02, 5.206885e-03, -3.204237e-03
-1.132676e+02, 5.874435e-03, -4.672846e-03
-1.131676e+02, 5.874435e-03, -4.672846e-03
-1.130678e+02, 5.874435e-03, -4.672846e-03
-1.129676e+02, 5.874435e-03, -4.672846e-03
-1.128678e+02, 5.874435e-03, -4.672846e-03
-1.127676e+02, 5.874435e-03, -4.672846e-03
-1.126676e+02, 5.874435e-03, -4.672846e-03
-1.125677e+02, 5.874435e-03, -4.672846e-03
-1.124677e+02, 5.206885e-03, -4.672846e-03
-1.123675e+02, 5.874435e-03, -4.672846e-03
-1.122677e+02, 5.874435e-03, -4.672846e-03
-1.121677e+02, 5.206885e-03, -3.204237e-03
-1.120677e+02, 5.874435e-03, -4.672846e-03
-1.119678e+02, 5.206885e-03, -4.939865e-03
-1.118677e+02, 5.874435e-03, -4.672846e-03
-1.117679e+02, 5.206885e-03, -4.939865e-03
-1.116680e+02, 5.874435e-03, -4.672846e-03
-1.115678e+02, 5.206885e-03, -3.471257e-03
-1.114677e+02, 5.206885e-03, -4.672846e-03
-1.113677e+02, 5.206885e-03, -4.939865e-03
-1.112677e+02, 5.874435e-03, -4.672846e-03
-1.111679e+02, 5.206885e-03, -4.939865e-03
-1.110679e+02, 5.874435e-03, -4.806356e-03
-1.109679e+02, 5.206885e-03, -4.806356e-03
-1.108680e+02, 5.874435e-03, -4.806356e-03
-1.107680e+02, 5.206885e-03, -4.806356e-03
-1.106679e+02, 5.206885e-03, -4.806356e-03
-1.105679e+02, 5.874435e-03, -4.806356e-03
-1.104680e+02, 5.206885e-03, -4.806356e-03
-1.103680e+02, 5.874435e-03, -4.806356e-03
-1.102680e+02, 5.206885e-03, -4.806356e-03
-1.101680e+02, 5.874435e-03, -4.806356e-03
-1.100679e+02, 5.874435e-03, -4.806356e-03
-1.099679e+02, 5.874435e-03, -4.806356e-03
-1.098680e+02, 5.874435e-03, -4.806356e-03
-1.097680e+02, 5.874435e-03, -4.806356e-03
-1.096680e+02, 5.874435e-03, -4.806356e-03
-1.095682e+02, 5.874435e-03, -4.806356e-03
-1.094705e+02, 5.874435e-03, -4.806356e-03
-1.093703e+02, 5.874435e-03, -4.806356e-03
-1.092691e+02, 5.874435e-03, -4.806356e-03
-1.091679e+02, 5.874435e-03, -4.806356e-03
-1.090691e+02, 5.874435e-03, -4.806356e-03
-1.089681e+02, 5.874435e-03, -4.806356e-03
-1.088682e+02, 5.874435e-03, -4.806356e-03
-1.087683e+02, 5.607415e-03, -4.806356e-03
-1.086682e+02, 5.874435e-03, -4.806356e-03
-1.085694e+02, 5.607415e-03, -4.939865e-03
-1.084693e+02, 5.874435e-03, -4.806356e-03
-1.083693e+02, 5.607415e-03, -4.939865e-03
-1.082694e+02, 5.607415e-03, -4.806356e-03
-1.081693e+02, 5.073375e-03, -4.806356e-03
-1.080703e+02, 5.607415e-03, -4.806356e-03
-1.079707e+02, 5.874435e-03, -4.806356e-03
-1.078698e+02, 5.607415e-03, -4.806356e-03
-1.077699e+02, 5.874435e-03, -4.806356e-03
-1.076701e+02, 5.073375e-03, -4.806356e-03
-1.075699e+02, 5.073375e-03, -4.806356e-03
-1.074700e+02, 5.874435e-03, -4.806356e-03
-1.073699e+02, 5.073375e-03, -4.806356e-03
-1.072702e+02, 5.607415e-03, -4.806356e-03
-1.071700e+02, 4.939865e-03, -4.806356e-03
-1.070701e+02, 5.073375e-03, -4.806356e-03
-1.069700e+02, 5.874435e-03, -4.806356e-03
-1.068700e+02, 5.874435e-03, -4.806356e-03
-1.067700e+02, 5.874435e-03, -4.806356e-03
-1.066700e+02, 5.874435e-03, -4.806356e-03
-1.065702e+02, 5.874435e-03, -5.473905e-03
-1.064702e+02, 5.874435e-03, -4.806356e-03
-1.063708e+02, 5.073375e-03, -4.806356e-03
-1.062666e+02, 5.874435e-03, -4.806356e-03
-1.061542e+02, 5.073375e-03, -4.272316e-03
-1.060495e+02, 5.874435e-03, -4.806356e-03
-1.059503e+02, 5.874435e-03, -5.473905e-03
-1.058536e+02, 5.874435e-03, -4.806356e-03
-1.057506e+02, 5.874435e-03, -5.473905e-03
-1.056539e+02, 5.874435e-03, -4.806356e-03
-1.055495e+02, 5.874435e-03, -5.473905e-03
-1.054540e+02, 4.939865e-03, -4.806356e-03
-1.053496e+02, 5.073375e-03, -5.473905e-03
-1.052496e+02, 5.073375e-03, -5.473905e-03
-1.051495e+02, 5.073375e-03, -5.473905e-03
-1.050532e+02, 5.073375e-03, -5.473905e-03
-1.049498e+02, 5.073375e-03, -4.272316e-03
-1.048499e+02, 5.073375e-03, -5.206885e-03
-1.047540e+02, 5.073375e-03, -5.473905e-03
-1.046540e+02, 5.073375e-03, -4.272316e-03
-1.045541e+02, 5.073375e-03, -4.272316e-03
-1.044543e+02, 5.073375e-03, -4.272316e-03
-1.043543e+02, 5.073375e-03, -4.272316e-03
-1.042544e+02, 4.672846e-03, -4.272316e-03
-1.041495e+02, 5.073375e-03, -4.272316e-03
-1.040544e+02, 4.672846e-03, -4.272316e-03
-1.039544e+02, 5.073375e-03, -4.272316e-03
-1.038544e+02, 5.073375e-03, -4.272316e-03
-1.037548e+02, 4.672846e-03, -4.272316e-03
-1.036492e+02, 4.672846e-03, -4.272316e-03
-1.035542e+02, 4.672846e-03, -4.806356e-03
-1.034542e+02, 4.672846e-03, -4.272316e-03
-1.033537e+02, 4.672846e-03, -5.473905e-03
-1.032538e+02, 4.672846e-03, -4.806356e-03
-1.031536e+02, 5.073375e-03, -4.405826e-03
-1.030534e+02, 4.405826e-03, -4.806356e-03
-1.029529e+02, 4.405826e-03, -4.806356e-03
-1.028527e+02, 4.272316e-03, -5.473905e-03
-1.027529e+02, 4.539336e-03, -4.806356e-03
-1.026528e+02, 5.073375e-03, -5.473905e-03
-1.025534e+02, 4.539336e-03, -4.806356e-03
-1.024536e+02, 5.073375e-03, -5.473905e-03
-1.023529e+02, 4.539336e-03, -4.806356e-03
-1.022529e+02, 5.073375e-03, -5.473905e-03
-1.021533e+02, 4.272316e-03, -4.806356e-03
-1.020529e+02, 4.272316e-03, -4.405826e-03
-1.019530e+02, 5.073375e-03, -4.405826e-03
