% Moku:Oscilloscope
% Channel A (Input 1) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Channel B (Input 2) - DC coupling, 1 MOhm impedance, 1 x probe attenuation
% Time span 3.000 s, time offset 1.740 s, Normal acquisition mode, 1 averages
% Edge trigger: Channel A, level 2.000 V, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output 1 - Pulse, 50.000 000 Hz, 3.303 5 Vpp, offset 0.000 0 V, phase 0.000 deg, width 1.000 ms, edge 4.000 ns, output load 1 MOhm
% Output 2 - Ramp, 50.000 000 000 kHz, 500.9 mVpp, offset 0.000 0 V, phase 0.000 deg, symmetry 90.00 %, output load 50 Ohm
% Internal 10 MHz clock
% Acquired 2022-05-01 T 02:47:07 -0400
% Kite Propulsion Generator Prototype Iteration 1.0
% Time (s), Channel A (Input 1) (V), Channel B (Input 2) (V)
-3.198362881109e+00, 7.077779e-03, 1.347613e-03
-3.195430119328e+00, 6.677150e-03, 0.000000e+00
-3.192497357547e+00, 2.270231e-03, 2.695226e-03
-3.189564595766e+00, 5.875892e-03, -1.347613e-03
-3.186631833984e+00, 5.074634e-03, -5.390453e-03
-3.183699072203e+00, 3.739204e-03, -4.042840e-03
-3.180766310422e+00, 1.335430e-04, 0.000000e+00
-3.177833548641e+00, -5.341720e-04, 4.042840e-03
-3.174900786859e+00, 2.937946e-03, 1.347613e-03
-3.171968025078e+00, 2.403774e-03, -2.695226e-03
-3.169035263297e+00, -1.869602e-03, -6.738066e-03
-3.166102501516e+00, -6.677150e-04, -2.695226e-03
-3.163169739734e+00, -8.012580e-04, 1.347613e-03
-3.160236977953e+00, -2.003145e-03, 4.042840e-03
-3.157304216172e+00, -1.468973e-03, 1.347613e-03
-3.154371454391e+00, -6.677150e-04, -2.695226e-03
-3.151438692609e+00, -5.341720e-04, -5.390453e-03
-3.148505930828e+00, 1.335430e-03, -1.347613e-03
-3.145573169047e+00, -4.006290e-04, 1.347613e-03
-3.142640407266e+00, 1.869602e-03, 1.347613e-03
-3.139707645484e+00, -9.348010e-04, -1.347613e-03
-3.136774883703e+00, 0.000000e+00, -2.695226e-03
-3.133842121922e+00, 2.403774e-03, -4.042840e-03
-3.130909360141e+00, -1.736059e-03, 2.695226e-03
-3.127976598359e+00, -1.335430e-03, 2.695226e-03
-3.125043836578e+00, -2.403774e-03, 0.000000e+00
-3.122111074797e+00, -5.341720e-04, -1.347613e-03
-3.119178313016e+00, -8.012580e-04, -2.695226e-03
-3.116245551234e+00, -2.136688e-03, -4.042840e-03
-3.113312789453e+00, -5.208177e-03, 0.000000e+00
-3.110380027672e+00, -8.813838e-03, 2.695226e-03
-3.107447265891e+00, -1.589162e-02, 1.347613e-03
-3.104514504109e+00, -1.695996e-02, -5.390453e-03
-3.101581742328e+00, -2.243522e-02, -5.390453e-03
-3.098648980547e+00, -2.537317e-02, 1.347613e-03
-3.095716218766e+00, -3.378638e-02, 1.347613e-03
-3.092783456984e+00, -3.779267e-02, 4.042840e-03
-3.089850695203e+00, -4.326793e-02, -1.347613e-03
-3.086917933422e+00, -4.887674e-02, -2.695226e-03
-3.083985171641e+00, -5.301657e-02, -2.695226e-03
