X,Y
829,85
829,85
829,85
829,85
829,80
825,80
822,79
814,77
807,72
803,70
793,64
781,54
767,46
760,41
747,40
737,31
724,30
713,28
699,28
686,26
674,25
659,24
649,23
631,20
623,19
609,17
590,17
588,15
579,15
575,15
604,125
558,13
822,340
345,264
345,262
816,340
345,263
539,15
545,15
554,15
566,18
571,15
582,18
605,19
611,26
629,28
643,30
658,32
676,34
688,34
699,32
709,31
718,31
723,32
730,35
734,35
745,37
751,44
765,46
772,53
781,57
798,64
819,73
834,82
854,93
870,102
885,113
902,121
912,128
919,141
930,150
935,157
941,164
728,323
774,357
773,359
773,359
773,357
773,356
770,356
941,177
935,174
923,165
901,158
885,152
861,146
839,141
809,136
786,132
759,127
726,121
701,115
669,107
647,100
614,95
588,91
560,91
543,92
523,88
508,87
493,84
482,82
473,78
463,72
458,68
449,62
446,59
437,57
431,47
430,43
426,37
431,34
435,26
438,23
442,21
447,19
863,281
863,281
863,281
865,282
486,20
833,266
832,266
762,301
540,34
571,17
585,20
594,23
606,27
613,30
620,34
629,39
638,43
645,45
658,48
666,48
677,48
682,54
688,57
690,62
693,65
509,75
353,364
355,365
355,370
360,377
528,73
535,70
539,70
548,69
509,398
505,398
502,399
584,81
592,85
601,91
610,96
620,104
625,114
476,404
472,402
469,402
649,154
656,163
664,174
671,182
681,192
691,201
696,210
705,222
667,366
717,237
406,378
727,250
733,257
739,263
743,271
747,275
751,280
755,287
754,289
358,357
762,297
525,418
769,300
770,301
772,301
772,301
773,301
774,300
774,296
334,336
771,293
770,289
768,285
766,285
766,280
764,272
765,267
762,256
344,333
753,244
751,233
743,230
738,222
578,317
721,210
712,205
705,201
776,382
682,193
671,192
661,190
439,357
638,188
631,187
467,365
476,366
489,368
603,180
598,178
592,177
589,173
586,170
582,166
580,161
578,155
577,152
578,144
579,139
582,132
586,128
591,123
595,120
599,120
386,373
381,370
380,372
377,369
626,113
634,111
642,111
649,112
657,114
666,115
675,122
686,130
693,140
700,146
709,157
717,169
722,179
744,271
736,202
742,215
746,228
749,237
753,249
604,302
391,324
762,274
766,282
680,159
688,170
696,182
600,303
704,198
709,205
685,250
720,218
726,223
733,228
738,231
742,236
747,238
752,238
755,241
360,300
359,300
359,301
762,246
762,242
762,238
761,236
757,230
352,305
748,215
742,206
740,197
734,188
730,174
565,281
712,157
700,146
568,282
